snapshot_at,project_number,project_title,item_id,content_type,issue_number,title,url,repository,assignees,status
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2ShFk,Issue,26,(LAB01S02 - 7) Revisar a entrega e atualizar o GitHub Project,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/26,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2ShDM,Issue,25,(LAB01S02 - 6) Implementar e executar o snapshot do GitHub Project,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/25,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg_o,Issue,24,(LAB01S02 - 5) Integrar análises e gerar a primeira versão do relatório do LAB01,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/24,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg9E,Issue,23,"(LAB01S02 - 4) Implementar validação das RQ05, RQ06 e RQ07 nos 1.000 repositórios",https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/23,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg7A,Issue,22,(LAB01S02 - 3) Implementar validação das RQ03 e RQ04 nos 1.000 repositórios,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/22,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg4c,Issue,21,(LAB01S02 - 2) Implementar validação das RQ01 e RQ02 nos 1.000 repositórios,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/21,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg1o,Issue,20,(LAB01S02 - 1) Implementar paginação GraphQL e exportar 1.000 repositórios em CSV,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/20,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JfUI,Issue,15,(Lab01S01-6) Automatizar a execução da consulta para os 100 repositórios mais populares,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/15,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JeO4,Issue,14,(Lab01S01-5) Integrar as extrações em uma única consulta GraphQL,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/14,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JeE0,Issue,13,(Lab01S01-4) Implementar e validar a extração das métricas das RQ05 e RQ06,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/13,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JdmQ,Issue,12,(Lab01S01-3)  Implementar e validar a extração das métricas das RQ03 e RQ04,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/12,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JdN8,Issue,11,(Lab01S01-2) Implementar e validar a extração das métricas das RQ01 e RQ02,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/11,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-19T11:20:54.868155+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Jc-w,Issue,10,(Lab01S01-1)  Configurar o repositório e o GitHub Projects,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/10,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
